day,date,title,scripture,verse,pdf_page
1,一月一日,我們愛，因為上帝先愛我們,「要是沒有愛，我的話就像吵鬧的鑼和響亮的鈸一樣。」,哥林多前書13:1（現中修訂版）,5
2,一月二日,一步一步邁向成熟,「上主引導義人的腳步，他喜悅他們生活的方方面面。他們即使失足，也不會跌倒，因為上主親手扶持他們。」,詩篇37:23-24（新普及譯本）,6
3,一月三日,戰勝試探,「你們要以救恩作頭盔，以上帝的話作聖靈所賜的寶劍。」,以弗所書6:17（現中修訂版）,7
4,一月四日,告訴上帝你愛祂,「要歌唱讚美上主；要⋯⋯頌讚我們的上帝。」,詩篇147:7（現中修訂版）,8
5,一月五日,上帝想賜給你自由,「要是上帝的兒子使你們得自由，你們就真的是自由人了。」,約翰福音8:36（現中修訂版）,9
6,一月六日,如何戰勝恐懼,「他們把我投進坑中，又用石頭砸我。水漫過我的頭，我大喊：「完了！」然而上主啊，我在深坑中呼求你的名：「請聽我的祈求！聽我求助的呼喊！」你就聽了我的呼求。是的，我呼求的時候你靠近我，告訴我：『不要懼怕。』」,耶利米哀歌3:53-57（新普及譯本）,10
7,一月七日,沒有甚麼能夠讓上帝感到驚訝,「我尚未出生，你就看見了我。我生命的每一天，你都記在冊上了。一天還未過去，每一刻都已經安排好了。」,詩篇139:16（新普及譯本）,11
8,一月八日,與上帝的友誼,「因為我們還與上帝為敵的時候，就已經靠著他兒子的死跟他和好了；藉著他兒子的生命，我們將來也必定會得救。我們的主耶穌基督已經使我們成為上帝的朋友，我們現在就可以在這種跟上帝的奇妙新關係中歡喜快樂。」,羅馬書5:10-11（新普及譯本）,12
9,一月九日,你可以饒恕別人,「要親切仁慈相對待，彼此饒恕，正如上帝藉著基督饒恕了你們一樣。」,以弗所書4:32（現中修訂版）,13
10,一月十日,為何信心如此重要,「上帝從天上俯看世人，要察看有沒有真正有智慧的，有沒有尋求上帝的。」,詩篇53:2（新普及譯本）,14
11,一月十一日,向耶穌坦承你的困境,「上帝使你們活在基督耶穌裡，祂使基督耶穌成為我們的智慧、公義、聖潔和救贖。」,哥林多前書1:30（當代譯本）,15
12,一月十二日,聖子顯明了聖父,「基督是不可見的上帝那可見的形象。他在萬物被造以前就存在，他遠遠高於一切受造之物。」,歌羅西書1:15（新普及譯本）,16
13,一月十三日,復活改變了一切,「我就是那叫死人復活，再次給他們生命的。任何信我的人，即使像其他人一樣死了，也必活過來；信我的會得著永生，必定永遠不死。」,約翰福音11:25-26（TLB意譯/新漢語譯本）,17
14,一月十四日,上帝與你一同悲傷,「上主親近傷心的人，拯救意志消沉的人。」,詩篇34:18（新普及譯本）,18
15,一月十五日,渴求上帝,「你們要像初生的嬰兒一樣，渴求純淨的靈奶，使你們能夠長大，最終完全地經歷拯救。為了能得到這生命的養分而呼求吧。」,彼得前書2:2（新普及譯本）,19
16,一月十六日,要精明：展望向前並面對現實,「精明的人會展望向前，愚昧的人卻欺騙自己，不願面對現實。」,箴言14:8（新普及譯本/TLB意譯）,20
17,一月十七日,同理心是孤寂的解藥,「我第一次被帶到審判官面前時，沒有人在我身邊，所有人都離棄了我。但願這不算為他們的罪。然而，主站在我身邊，給我力量，使我能夠把福音完全地傳講出來，讓所有外族人都聽見。」,提摩太後書4:16-17（新普及譯本）,21
18,一月十八日,擊敗你傷害性的思想,「（魔鬼）説謊是出於自己的本性，因為他是説謊者，又是説謊者的父親。」,約翰福音8:44（新普及譯本）,22
19,一月十九日,回到上帝的途徑,「你們如果一心尋找我，渴慕我勝於一切事物，我保證你們必不失望。」,耶利米書29:13（信息本意譯）,23
20,一月二十日,為甚麼上帝要考驗你,「火試驗金銀的純度，上主卻考驗人的心。」,箴言17:3（新普及譯本）,24
21,一月二十一日,學會控制你的憤怒,「欠缺自制力的人，就如城牆倒塌的城一樣無力防備。」,箴言25:28（NLT96意譯）,25
22,一月二十二日,準備你的心靈去接受,「信心是從聆聽來的，是從聆聽基督的福音來的。」,羅馬書10:17（新普及譯本）,26
23,一月二十三日,學會知足,「難道你所有的不都是上帝所賜的嗎？那麼，這些比較和競爭又有甚麼意義呢？你們所需要的一切，都已經擁有了！」,哥林多前書4:7-8（信息本意譯）,27
24,一月二十四日,將你的憂慮和痛苦交託給上帝,「我⋯在這裏受牢獄之苦，但我並不因此感到羞恥，我知道我信靠的是誰，並深信他必定能保守我所託付他的，直到他再來的那天。」,提摩太後書1:12（新普及譯本）,28
25,一月二十五日,與他人和睦,「可能的話，要盡你們所能與眾人和睦相處。」,羅馬書12:18（新漢語譯本）,29
26,一月二十六日,自制的力量,「欠缺自制力的人，就像城牆倒塌的城。」,箴言25:28（新普及譯本）,30
27,一月二十七日,等候上帝,「我要讚美上主，絕不忘記他為我作的光榮事情。」,詩篇103:2（新普及譯本/意譯）,31
28,一月二十八日,誰會因為你而在天堂？,「最重要的事情就是要完成我的使命，成就主耶穌交給我的工作，就是見證上帝恩典的福音。」,使徒行傳20:24（現代中文譯本/意譯）,32
29,一月二十九日,充分利用瑣碎的時間,「你縱有諸多計劃，惟有上主的旨意能夠成就。」,箴言19:21（新普及譯本）,33
30,一月三十日,專注於取悦上帝，而不是取悦人,「我們的目的不是討人喜歡，而是討上帝喜悦。惟獨他察驗我們內心的動機。」,帖撒羅尼迦前書2:4（新普及譯本）,34
31,一月三十一日,上帝是個關懷的父親,「父親怎樣疼惜憐愛他的兒女，上主也怎樣疼惜憐愛敬畏他的人。」,詩篇103:13（新普及譯本）,35
32,二月一日,背誦經文會帶來蒙福的人生,「詳細察看那全備、使人自由之律法的，並且時常如此，這人既不是聽了就忘，乃是實在行出來，就在他所行的事上必然得福。」,雅各書1:25（和合本上帝版）,37
33,二月二日,上帝醫治情感枯竭的良方,「以利亞害怕，就逃命去了⋯⋯上主對他説：『你出來，在這山上站在我面前。』以利亞站在那裏，上主就從那裏經過。」,"列王紀上19:3,11（新普及譯本）",38
34,二月三日,信心的實踐,「如果你們看見有弟兄姊妹沒有吃的、穿的，卻只是説『願你今天過得好，穿得暖，吃得好，再見』，而不給那人食物和衣服，又有甚麼好處呢？」,雅各書2:15-16（新普及譯本）,39
35,二月四日,避免爭吵,「愚蠢人引起爭吵；能避免爭吵便是光榮。」,箴言20:3（現代中文譯本）,40
36,二月五日,銘記上帝的作為,「要知道⋯你們親自體驗上主而認識他。」,申命記11:2（現中修訂版）,41
37,二月六日,尋找改變的力量,「我甚麼也試過了，卻甚麼也沒有用。我已處於末路窮途，難道沒有任何人可以為我做些事情嗎？感謝上帝，答案就是主耶穌基督可以，而且確實做了。」,羅馬書7:24-25（信息版意譯）,42
38,二月七日,愛你的仇敵,「要愛你們的敵人！善待憎恨你們的人，祝福詛咒你們的人，為傷害你們的人禱告。如果有人打你這邊臉，把另一邊臉也讓他打；如果有人要拿走你的外衣，連襯衫也讓他拿去。」,路加福音6:27-29（新普及譯本）,43
39,二月八日,如何向當權者申訴,「但以理就跟這侍從商量說：『請測試我們十天，允許我們只吃蔬菜，喝清水。十天之後，看看跟其他享用王膳的年輕人相比，我們的氣色如何，再照你看見的作決定吧。』」,但以理書1:11-13（新普及譯本）,44
40,二月九日,不要將自己與他人比較,「你們在自己所做的事上要小心謹慎，這樣你們就會因自己做得好而感到滿足，而且不需要跟他人比較。」,加拉太書6:4（新普及譯本）,45
41,二月十日,避免屬靈上隨流漂去,「因此，我們必須更加堅守所聽到的真理，免得被潮流沖走。」,希伯來書2:1（現代中文譯本）,46
42,二月十一日,預備自己去聽從上帝的聲音,「落在小路上的種子，是指有些人聽到信息，魔鬼卻來把它從他們心裏奪走，不讓他們相信和得救。」,路加福音8:12（新普及譯本）,47
43,二月十二日,忙碌會妨礙我們聆聽上帝,「落在石地淺土上的種子，是指有些人聽到信息便歡喜接受，但扎根不深，只相信了一小段時間，一遇到試探就放棄了。」,路加福音8:13（新普及譯本）,48
44,二月十三日,根除分心的雜草,「落在荊棘叢裏的種子，是指有些人聽到信息，但這信息很快就被今生的憂慮、財富和享樂擠了出來，使他們無法長大成熟。」,路加福音8:14（新普及譯本）,49
